Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,5044.47,100.00,0,0,0,0,5044.47,2.36,76653
2,2,4977.42,100.00,0,0,0,0,4977.42,2.58,113065
3,3,4911.67,100.00,0,0,0,0,4911.67,2.55,86950
4,4,4983.82,100.00,0,0,0,0,4983.82,2.62,82541
5,5,5114.20,100.00,0,0,0,0,5114.20,2.21,92719
6,6,5051.35,100.00,0,0,0,0,5051.35,2.32,81121
7,7,5093.82,100.00,0,0,0,0,5093.82,2.34,110582
8,8,4972.48,100.00,0,0,0,0,4972.48,2.26,117393
9,9,4895.18,100.00,0,0,0,0,4895.18,2.56,90235
10,10,4916.17,100.00,0,0,0,0,4916.17,2.77,83772
11,11,5115.07,100.00,0,0,0,0,5115.07,2.66,104496
12,12,5033.30,100.00,0,0,0,0,5033.30,2.45,98227
13,13,4946.55,100.00,0,0,0,0,4946.55,2.80,100334
14,14,4930.00,100.00,0,0,0,0,4930.00,2.72,94160
15,15,5072.22,100.00,0,0,0,0,5072.22,2.48,77493
16,16,5009.35,100.00,0,0,0,0,5009.35,2.31,102097
17,17,4994.23,100.00,0,0,0,0,4994.23,2.48,113298
18,18,4967.60,100.00,0,0,0,0,4967.60,2.54,149723
19,19,4981.82,100.00,0,0,0,0,4981.82,2.49,104242
20,20,4943.15,100.00,0,0,0,0,4943.15,2.67,99432
21,21,5009.68,100.00,0,0,0,0,5009.68,2.62,93608
22,22,4994.67,100.00,0,0,0,0,4994.67,2.63,92771
23,23,4958.42,100.00,0,0,0,0,4958.42,2.73,133581
24,24,5031.95,100.00,0,0,0,0,5031.95,2.50,138341
25,25,4993.25,100.00,0,0,0,0,4993.25,2.34,100837
26,26,5032.82,100.00,0,0,0,0,5032.82,2.27,119821
27,27,5113.67,100.00,0,0,0,0,5113.67,2.18,101739
28,28,4953.17,100.00,0,0,0,0,4953.17,2.60,98397
29,29,5042.33,100.00,0,0,0,0,5042.33,2.53,106810
30,30,4947.55,100.00,0,0,0,0,4947.55,2.56,108014
