Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,10833.75,100.00,0,0,0,0,10833.75,1.92,147625
2,2,10636.85,100.00,0,0,0,0,10636.85,1.80,154749
3,3,11012.30,100.00,0,0,0,0,11012.30,1.56,197849
4,4,10659.55,100.00,0,0,0,0,10659.55,1.59,157730
5,5,10861.73,100.00,0,0,0,0,10861.73,1.98,154819
6,6,10768.87,100.00,0,0,0,0,10768.87,1.59,146273
7,7,10874.07,100.00,0,0,0,0,10874.07,1.59,139289
8,8,10913.40,100.00,0,0,0,0,10913.40,1.86,147711
9,9,10838.45,100.00,0,0,0,0,10838.45,1.87,166922
10,10,10614.77,100.00,0,0,0,0,10614.77,1.89,153522
11,11,10648.62,100.00,0,0,0,0,10648.62,1.83,160312
12,12,10652.65,100.00,0,0,0,0,10652.65,1.59,186738
13,13,10760.92,100.00,0,0,0,0,10760.92,1.99,166333
14,14,10712.57,100.00,0,0,0,0,10712.57,1.76,154191
15,15,10609.67,100.00,0,0,0,0,10609.67,1.51,148055
16,16,10608.00,100.00,0,0,0,0,10608.00,1.58,151742
17,17,10701.00,100.00,0,0,0,0,10701.00,1.92,159473
18,18,10958.38,100.00,0,0,0,0,10958.38,1.86,145096
19,19,10601.38,100.00,0,0,0,0,10601.38,1.85,148282
20,20,10723.17,100.00,0,0,0,0,10723.17,1.59,155742
21,21,10892.15,100.00,0,0,0,0,10892.15,1.57,142568
22,22,10730.82,100.00,0,0,0,0,10730.82,1.78,156154
23,23,10856.88,100.00,0,0,0,0,10856.88,1.96,159792
24,24,10784.15,100.00,0,0,0,0,10784.15,1.81,153723
25,25,10736.35,100.00,0,0,0,0,10736.35,1.84,148593
26,26,10713.67,100.00,0,0,0,0,10713.67,1.83,158594
27,27,10894.35,100.00,0,0,0,0,10894.35,1.60,145999
28,28,10828.45,100.00,0,0,0,0,10828.45,1.59,154643
29,29,10708.87,100.00,0,0,0,0,10708.87,1.90,157290
30,30,10670.95,100.00,0,0,0,0,10670.95,1.85,143458
