Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,1009.00,100.00,0,0,0,0,1009.00,1.64,24291
2,2,1071.22,100.00,0,0,0,0,1071.22,1.62,26602
3,3,1044.22,100.00,0,0,0,0,1044.22,1.53,26825
4,4,1078.57,100.00,0,0,0,0,1078.57,1.62,32465
5,5,1131.20,100.00,0,0,0,0,1131.20,1.60,35103
6,6,1022.83,100.00,0,0,0,0,1022.83,1.52,31401
7,7,1107.57,100.00,0,0,0,0,1107.57,1.70,23824
8,8,1084.42,100.00,0,0,0,0,1084.42,1.56,22138
9,9,1083.78,100.00,0,0,0,0,1083.78,1.69,23408
10,10,1079.97,100.00,0,0,0,0,1079.97,1.55,22329
11,11,1077.68,100.00,0,0,0,0,1077.68,1.69,23998
12,12,1099.15,100.00,0,0,0,0,1099.15,1.58,23992
13,13,1067.48,100.00,0,0,0,0,1067.48,1.58,19910
14,14,1106.50,100.00,0,0,0,0,1106.50,1.61,20634
15,15,1095.92,100.00,0,0,0,0,1095.92,1.71,26541
16,16,1072.57,100.00,0,0,0,0,1072.57,1.47,28772
17,17,1117.62,100.00,0,0,0,0,1117.62,1.52,21240
18,18,1083.32,100.00,0,0,0,0,1083.32,1.56,20394
19,19,1068.85,100.00,0,0,0,0,1068.85,1.47,23974
20,20,1053.40,100.00,0,0,0,0,1053.40,1.38,19901
21,21,1052.65,100.00,0,0,0,0,1052.65,1.64,23016
22,22,979.13,100.00,0,0,0,0,979.13,1.56,22452
23,23,1084.98,100.00,0,0,0,0,1084.98,1.47,23110
24,24,1054.97,100.00,0,0,0,0,1054.97,1.61,23250
25,25,1047.58,100.00,0,0,0,0,1047.58,1.48,28042
26,26,1050.95,100.00,0,0,0,0,1050.95,1.71,29729
27,27,1063.75,100.00,0,0,0,0,1063.75,1.61,21727
28,28,1140.77,100.00,0,0,0,0,1140.77,1.61,21527
29,29,1114.47,100.00,0,0,0,0,1114.47,1.58,21686
30,30,1079.27,100.00,0,0,0,0,1079.27,1.57,21280
