Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,9742.95,100.00,0,0,0,0,9742.95,1.02,13370
2,2,9866.60,100.00,0,0,0,0,9866.60,1.02,14705
3,3,9772.63,100.00,0,0,0,0,9772.63,1.02,14865
4,4,9772.87,100.00,0,0,0,0,9772.87,1.02,15990
5,5,9785.38,100.00,0,0,0,0,9785.38,1.03,14361
6,6,9809.22,100.00,0,0,0,0,9809.22,1.02,14518
7,7,9822.08,100.00,0,0,0,0,9822.08,1.03,14484
8,8,9828.18,100.00,0,0,0,0,9828.18,1.03,14731
9,9,9795.08,100.00,0,0,0,0,9795.08,1.02,19759
10,10,9762.57,100.00,0,0,0,0,9762.57,1.03,17154
11,11,9763.78,100.00,0,0,0,0,9763.78,1.03,21768
12,12,9820.47,100.00,0,0,0,0,9820.47,1.03,27367
13,13,9836.37,100.00,0,0,0,0,9836.37,1.02,22771
14,14,9798.38,100.00,0,0,0,0,9798.38,1.02,18524
15,15,9805.58,100.00,0,0,0,0,9805.58,1.02,19161
16,16,9840.05,100.00,0,0,0,0,9840.05,1.02,22904
17,17,9788.88,100.00,0,0,0,0,9788.88,1.03,19578
18,18,9768.08,100.00,0,0,0,0,9768.08,1.03,29113
19,19,9804.23,100.00,0,0,0,0,9804.23,1.02,30072
20,20,9809.57,100.00,0,0,0,0,9809.57,1.02,20892
21,21,9778.07,100.00,0,0,0,0,9778.07,1.02,17560
22,22,9752.65,100.00,0,0,0,0,9752.65,1.03,18453
23,23,9771.17,100.00,0,0,0,0,9771.17,1.03,22683
24,24,9834.50,100.00,0,0,0,0,9834.50,1.02,19413
25,25,9837.07,100.00,0,0,0,0,9837.07,1.03,22050
26,26,9749.45,100.00,0,0,0,0,9749.45,1.03,23366
27,27,9741.18,100.00,0,0,0,0,9741.18,1.02,22222
28,28,9836.97,100.00,0,0,0,0,9836.97,1.02,23479
29,29,9815.88,100.00,0,0,0,0,9815.88,1.02,31272
30,30,9796.95,100.00,0,0,0,0,9796.95,1.03,20181
