Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,4947.72,100.00,0,0,0,0,4947.72,1.03,7516
2,2,4980.60,100.00,0,0,0,0,4980.60,1.03,7638
3,3,4996.92,100.00,0,0,0,0,4996.92,1.03,7446
4,4,4968.38,100.00,0,0,0,0,4968.38,1.02,7746
5,5,4963.28,100.00,0,0,0,0,4963.28,1.03,7589
6,6,4934.67,100.00,0,0,0,0,4934.67,1.03,7830
7,7,4998.17,100.00,0,0,0,0,4998.17,1.03,7527
8,8,5021.48,100.00,0,0,0,0,5021.48,1.02,7555
9,9,4972.42,100.00,0,0,0,0,4972.42,1.03,7659
10,10,4988.68,100.00,0,0,0,0,4988.68,1.03,7539
11,11,5006.57,100.00,0,0,0,0,5006.57,1.02,7544
12,12,4930.87,100.00,0,0,0,0,4930.87,1.03,7774
13,13,4989.67,100.00,0,0,0,0,4989.67,1.03,7748
14,14,4987.95,100.00,0,0,0,0,4987.95,1.02,7651
15,15,5015.58,100.00,0,0,0,0,5015.58,1.02,8575
16,16,4970.43,100.00,0,0,0,0,4970.43,1.03,7683
17,17,4977.28,100.00,0,0,0,0,4977.28,1.03,7619
18,18,5007.82,100.00,0,0,0,0,5007.82,1.02,7433
19,19,5012.33,100.00,0,0,0,0,5012.33,1.02,7516
20,20,4952.35,100.00,0,0,0,0,4952.35,1.03,7822
21,21,4959.32,100.00,0,0,0,0,4959.32,1.03,7722
22,22,4998.32,100.00,0,0,0,0,4998.32,1.02,7848
23,23,4944.70,100.00,0,0,0,0,4944.70,1.03,7573
24,24,4952.22,100.00,0,0,0,0,4952.22,1.03,7587
25,25,4959.47,100.00,0,0,0,0,4959.47,1.02,7638
26,26,4988.25,100.00,0,0,0,0,4988.25,1.03,7339
27,27,4971.18,100.00,0,0,0,0,4971.18,1.03,7595
28,28,5015.05,100.00,0,0,0,0,5015.05,1.02,7531
29,29,4968.45,100.00,0,0,0,0,4968.45,1.03,7768
30,30,4987.50,100.00,0,0,0,0,4987.50,1.03,7485
